division,elected_party
Adelaide,NA
Aston,Liberal
Ballarat,NA
Banks,Liberal
Barker,Liberal
Barton,NA
Bass,Liberal
Bean,NA
Bendigo,NA
Bennelong,NA
Berowra,Liberal
Blair,NA
Blaxland,NA
Bonner,Liberal
Boothby,NA
Bowman,Liberal
Braddon,Liberal
Bradfield,Liberal
Brand,NA
Brisbane,NA
Bruce,NA
Burt,NA
Calare,NA
Calwell,NA
Canberra,NA
Canning,Liberal
Capricornia,Liberal
Casey,Liberal
Chifley,NA
Chisholm,NA
Clark,NA
Cook,Liberal
Cooper,NA
Corangamite,NA
Corio,NA
Cowan,NA
Cowper,NA
Cunningham,NA
Curtin,NA
Dawson,Liberal
Deakin,Liberal
Dickson,Liberal
Dobell,NA
Dunkley,NA
Durack,Liberal
Eden-Monaro,NA
Fadden,Liberal
Fairfax,Liberal
Farrer,Liberal
Fenner,NA
Fisher,Liberal
Flinders,Liberal
Flynn,Liberal
Forde,Liberal
Forrest,Liberal
Fowler,NA
Franklin,NA
Fraser,NA
Fremantle,NA
Gellibrand,NA
Gilmore,NA
Gippsland,NA
Goldstein,NA
Gorton,NA
Grayndler,NA
Greenway,NA
Grey,Liberal
Griffith,NA
Groom,Liberal
Hasluck,NA
Hawke,NA
Herbert,Liberal
Higgins,NA
Hindmarsh,NA
Hinkler,Liberal
Holt,NA
Hotham,NA
Hughes,Liberal
Hume,Liberal
Hunter,NA
Indi,NA
Isaacs,NA
Jagajaga,NA
Kennedy,NA
Kingsford Smith,NA
Kingston,NA
Kooyong,NA
La Trobe,Liberal
Lalor,NA
Leichhardt,Liberal
Lilley,NA
Lindsay,Liberal
Lingiari,NA
Longman,Liberal
Lyne,NA
Lyons,NA
Macarthur,NA
Mackellar,NA
Macnamara,NA
Macquarie,NA
Makin,NA
Mallee,NA
Maranoa,Liberal
Maribyrnong,NA
Mayo,NA
McEwen,NA
McMahon,NA
McPherson,Liberal
Melbourne,NA
Menzies,Liberal
Mitchell,Liberal
Monash,Liberal
Moncrieff,Liberal
Moore,Liberal
Moreton,NA
New England,NA
Newcastle,NA
Nicholls,NA
North Sydney,NA
O'Connor,Liberal
Oxley,NA
Page,NA
Parkes,NA
Parramatta,NA
Paterson,NA
Pearce,NA
Perth,NA
Petrie,Liberal
Rankin,NA
Reid,NA
Richmond,NA
Riverina,NA
Robertson,NA
Ryan,NA
Scullin,NA
Shortland,NA
Solomon,NA
Spence,NA
Sturt,Liberal
Swan,NA
Sydney,NA
Tangney,NA
Wannon,Liberal
Warringah,NA
Watson,NA
Wentworth,NA
Werriwa,NA
Whitlam,NA
Wide Bay,Liberal
Wills,NA
Wright,Liberal
